idx,prompt,gold,generated_response,bleurt_score,hallucination_label,small_llm,large_llm
0,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". 
 Q: What color was Cotton? A:",['white'], White,0.5995565056800842,0,0,
1,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. 
 Q: Where did she live? A:",['in a barn'], in a barn.,0.8265864253044128,0,0,
2,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. 
 Q: Did she live alone? A:",['no']," No, she lived with her mommy and 5 sisters.",0.1578516662120819,1,0,
3,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. 
 Q: Who did she live with? A:",['with her mommy and 5 sisters'], her mommy and 5 sisters.,0.8235412836074829,0,0,
4,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. 
 Q: What color were her sisters? A:",['orange and white'], orange.,0.25000104308128357,1,0,
5,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. Q: What color were her sisters? A: orange and white. 
 Q: Was Cotton happy that she looked different than the rest of her family? A:",['no'], yes.,0.06291602551937103,1,1,
6,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. Q: What color were her sisters? A: orange and white. Q: Was Cotton happy that she looked different than the rest of her family? A: no. 
 Q: What did she do to try to make herself the same color as her sisters? A:",['she painted herself'], she painted herself orange and white.,0.4186527132987976,1,0,0
7,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. Q: What color were her sisters? A: orange and white. Q: Was Cotton happy that she looked different than the rest of her family? A: no. Q: What did she do to try to make herself the same color as her sisters? A: she painted herself. 
 Q: Whose paint was it? A:",['the farmer'], the farmer's.,0.5235186219215393,0,0,
8,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. Q: What color were her sisters? A: orange and white. Q: Was Cotton happy that she looked different than the rest of her family? A: no. Q: What did she do to try to make herself the same color as her sisters? A: she painted herself. Q: Whose paint was it? A: the farmer. 
 Q: What did Cotton's mother and siblings do when they saw her painted orange? A:",['they started laughing'], they laughed.,0.5462026000022888,0,0,
9,"Answer the question concisely based on the context: 
 Once upon a time, in a barn near a farm house, there lived a little white kitten named Cotton. Cotton lived high up in a nice warm place above the barn where all of the farmer's horses slept. But Cotton wasn't alone in her little home above the barn, oh no. She shared her hay bed with her mommy and 5 other sisters. All of her sisters were cute and fluffy, like Cotton. But she was the only white one in the bunch. The rest of her sisters were all orange with beautiful white tiger stripes like Cotton's mommy. Being different made Cotton quite sad. She often wished she looked like the rest of her family. So one day, when Cotton found a can of the old farmer's orange paint, she used it to paint herself like them. When her mommy and sisters found her they started laughing. 

""What are you doing, Cotton?!"" 

""I only wanted to be more like you"". 

Cotton's mommy rubbed her face on Cotton's and said ""Oh Cotton, but your fur is so pretty and special, like you. We would never want you to be any other way"". And with that, Cotton's mommy picked her up and dropped her into a big bucket of water. When Cotton came out she was herself again. Her sisters licked her face until Cotton's fur was all all dry. 

""Don't ever do that again, Cotton!"" they all cried. ""Next time you might mess up that pretty white fur of yours and we wouldn't want that!"" 

Then Cotton thought, ""I change my mind. I like being special"". Q: What color was Cotton? A: white. Q: Where did she live? A: in a barn. Q: Did she live alone? A: no. Q: Who did she live with? A: with her mommy and 5 sisters. Q: What color were her sisters? A: orange and white. Q: Was Cotton happy that she looked different than the rest of her family? A: no. Q: What did she do to try to make herself the same color as her sisters? A: she painted herself. Q: Whose paint was it? A: the farmer. Q: What did Cotton's mother and siblings do when they saw her painted orange? A: they started laughing. 
 Q: Where did Cotton's mother put her to clean the paint off? A:",['a bucket of water'], in a big bucket of water.,0.5310634970664978,0,0,
