idx,prompt,gold,generated_response,bleurt_score,hallucination_label,llm_hallucination_label
0,Answer the question concisely. Q: Who was the man behind The Chipmunks? A:,['David Seville'], The Chipmunks,0.1113676056265831,1,1
1,Answer the question concisely. Q: Which Lloyd Webber musical premiered in the US on 10th December 1993? A:,"['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.']", Cats,0.06306879222393036,1,1
2,Answer the question concisely. Q: Who was the next British Prime Minister after Arthur Balfour? A:,"['Sir Henry Campbell-Bannerman', 'Campbell-Bannerman', 'Campbell Bannerman', 'Sir Henry Campbell Bannerman', 'Henry Campbell Bannerman', 'Henry Campbell-Bannerman']", David Lloyd George,0.20265525579452515,1,1
3,Answer the question concisely. Q: Who had a 70s No 1 hit with Kiss You All Over? A:,"['Internal exile', 'Exiles', 'Transported for life', 'Exile (politics and government)', 'Voluntary exile', 'Sent into exile', 'Exile and Banishment', 'Self-exile', 'Forced exile', 'Exile', 'Exile in Greek tragedy', 'Banish', 'Banishment']", The Bee Gees,0.1600140482187271,1,1
4,Answer the question concisely. Q: What claimed the life of singer Kathleen Ferrier? A:,"['Cancer pathology', 'Deaths by cancer', 'Anti-cancer', 'Cancer (disease)', 'Cancerophobia', 'Malignant lesion', 'Cancer medication', 'Malignant tumors', 'Cancer signs', 'Malignant neoplasm', 'Invasive (cancer)', 'Malignant Neoplasms', 'Malignant growth', 'Sporadic cancer', 'Malignant cancer', 'Tumour virus', 'Cancer en cuirasse', 'Microtumor', 'Malignant neoplasms', 'Malignant tumour', 'Carcinophobia', 'Malignacy', 'Cancer patient', 'Epithelial cancers', 'Solid cancer', 'Cancers', 'Tumor medication', 'Malignant neoplastic disease', 'AIDS-related cancer', 'Invasive cancer', 'Cancer therapy', 'Cancerous tumor', 'Cancer', 'Financial toxicity', 'Cancer diagnosis', 'Cancer (medicine)', 'Malignant tumor', 'Cancerous', 'Borderline (cancer)', 'Signs of cancer', 'Malignancies', 'Cancer aromatase']", Her own stupidity,0.14671805500984192,1,1
5,Answer the question concisely. Q: Rita Coolidge sang the title song for which Bond film? A:,"['Kamal kahn', 'List of Bond girls in Octopussy', 'Magda (James Bond)', 'List of James Bond allies in Octopussy', 'Vijay (James Bond)', 'Bond 13', 'Octopussy (character)', 'Penelope Smallbone', 'Octopussy', 'General Orlov', 'Kamal Khan', 'Octopussy (film)', 'List of James Bond villains in Octopussy', 'Jim Fanning (James Bond)']", Goldfinger,0.11538933217525482,1,1
6,Answer the question concisely. Q: What was the last US state to reintroduce alcohol after prohibition? A:,"['Utah (State)', 'Forty-Fifth State', 'Sports in Utah', 'Climate of Utah', 'Education in Utah', 'UT (state)', 'Utahn', 'Yutas', 'Geography of Utah', 'Utah', 'Utah, United States', 'Utah state nickname', 'History of mining in Utah', 'State of Utah', 'Religion in Utah', 'Utah (U.S. state)', 'Transportation in Utah', 'Beehive State', 'US-UT', 'Utah (state)', 'Forty-fifth State', 'Utahan', 'Politics of Utah', 'Salt Lake Seagulls', '45th State', 'History of Utah (to 1847)', 'The Beehive State', 'Youtah', 'Transport in Utah']", Alaska,0.5422508716583252,0,1
7,Answer the question concisely. Q: Which actress was voted Miss Greenwich Village in 1942? A:,"['Bacall', 'Lauren Becal', 'Lauren Bacall', 'Lauren Becall', 'Betty J. Perske', 'Loren Bacall', 'Betty Joan Perske', 'Betty Perske', 'Betty Joan Perski']", Bette Davis,0.39604562520980835,1,1
8,Answer the question concisely. Q: What is the Japanese share index called? A:,"['Nikkei', 'Nikkei (disambiguation)']", Nikkei,0.9630709886550903,0,0
9,Answer the question concisely. Q: What was the name of Michael Jackson's autobiography written in 1988? A:,"['Walk on the Moon', 'Walk on the moon', 'Moonwalk (disambiguation)', 'Lunar walks', 'Moonwalk', 'Moon Walk', 'Moonwalking', 'Lunar walk', 'Moon walk', 'Moonwalks', 'Moon walks', 'Lunar walking', 'Moon walking']", Moonwalker,0.6506643891334534,0,1
10,Answer the question concisely. Q: In which decade did stereo records first go on sale? A:,"['1930’s', 'Thirties', '1930s literature', 'Nineteen-thirties', '1930–1939', '1930-1939', ""'30s"", '1930s', ""1930's"", '%6030s', '1930s (decade)', 'The Thirties']", The 1960s,0.41443151235580444,1,1
11,Answer the question concisely. Q: In what year's Olympics were electric timing devices and a public-address system used for the first time? A:,"['In 1912, in Stockholm']", In the year 2000,0.13881315290927887,1,1
12,Answer the question concisely. Q: Which volcano in Tanzania is the highest mountain in Africa? A:,"['Mawensi', 'Mt. Kilimanjaro', 'Kibo (volcano)', 'Mount killimanjaro', 'Highest mountain in Africa', 'Kilimanjaro Massif', 'Stella Point', 'Kilimandjaro', 'Kilimonjaro', 'Kilimanjaro', ""Gilman's Point"", 'Killimanjaro', 'Kilima-Njaro', 'Kiliminjaro', 'Mt Kilimanjaro', 'Kilimanjaro Mountain', 'Mount Kilimanjaro', 'Mawenzi', 'Uhuru Peak', 'Kilimanjiro', 'Kaiser-Wilhelm-Spitze', 'Mt Kilamanjaro', 'Mount Kiliminjaro', 'Mount Kilimandjaro', 'Mount Kilamanjaro', 'Tussock Grassland (Tanzania)', 'Kilamanjaro']", Kilimanjaro,0.9748734831809998,0,0
13,Answer the question concisely. Q: The flag of Libya is a plain rectangle of which color? A:,"['Greenishly', 'Avacado (color)', 'Green (color)', 'Rgb(0, 255, 0)', 'Greenishness', 'The colour green', 'Greenest', 'List of terms associated with the color green', 'The color green', 'Green', 'Pastel green', '(0, 255, 0)', 'Green (colour)', 'Greenness']", Red,0.39597761631011963,1,1
14,Answer the question concisely. Q: Of which African country is Niamey the capital? A:,"['Niger Republic', 'Nigerois', 'Republic Of Niger', 'Republic of Niger', 'The Republic of Niger', 'Nigerien', 'Niger (country)', 'République du Niger', 'Republique du Niger', 'ISO 3166-1:NE', 'Niger', 'NG-NI']", Niger,0.7796587347984314,0,0
15,Answer the question concisely. Q: Who was the director of the CIA from 1976-81? A:,"['George Bush', 'George bush', 'Goerge Bush', 'George W. Bush (disambiguation)', 'GeorgeBush', 'George Bushe', 'Georgebush', 'Georg bush', 'G Bush', 'George Bush, President', 'George Bush (disambiguation)', 'Bush, George', 'Geroge Bush']", William Colby,0.2506045699119568,1,1
16,Answer the question concisely. Q: Which musical featured the song The Street Where You Live? A:,"['My Fair Lady (2010 film)', 'Enry Iggins', ""Why Can't the English%3F"", 'My Fair Lady', 'My Fair Lady (upcoming film)', 'My Fair Lady (musical)', 'My fair lady', ""I'm an Ordinary Man"", 'My Fair Lady (2014 film)', 'My Fair Lady (2012 film)', 'My Fair Lady (2015 film)']", The Music Man,0.2630729675292969,1,1
