idx,prompt,gold,generated_response,bleurt_score,hallucination_label,small_llm,large_llm
3,Answer the question concisely. Q: Who had a 70s No 1 hit with Kiss You All Over? A:,"['Internal exile', 'Exiles', 'Transported for life', 'Exile (politics and government)', 'Voluntary exile', 'Sent into exile', 'Exile and Banishment', 'Self-exile', 'Forced exile', 'Exile', 'Exile in Greek tragedy', 'Banish', 'Banishment']", The Bee Gees,0.1600140482187271,1,1,1
4,Answer the question concisely. Q: What claimed the life of singer Kathleen Ferrier? A:,"['Cancer pathology', 'Deaths by cancer', 'Anti-cancer', 'Cancer (disease)', 'Cancerophobia', 'Malignant lesion', 'Cancer medication', 'Malignant tumors', 'Cancer signs', 'Malignant neoplasm', 'Invasive (cancer)', 'Malignant Neoplasms', 'Malignant growth', 'Sporadic cancer', 'Malignant cancer', 'Tumour virus', 'Cancer en cuirasse', 'Microtumor', 'Malignant neoplasms', 'Malignant tumour', 'Carcinophobia', 'Malignacy', 'Cancer patient', 'Epithelial cancers', 'Solid cancer', 'Cancers', 'Tumor medication', 'Malignant neoplastic disease', 'AIDS-related cancer', 'Invasive cancer', 'Cancer therapy', 'Cancerous tumor', 'Cancer', 'Financial toxicity', 'Cancer diagnosis', 'Cancer (medicine)', 'Malignant tumor', 'Cancerous', 'Borderline (cancer)', 'Signs of cancer', 'Malignancies', 'Cancer aromatase']", Her own stupidity,0.14671805500984192,1,1,1
18,Answer the question concisely. Q: Who had an 80s No 1 hit with Hold On To The Nights? A:,"['Richard Noel Marx', 'Richard Marx']", The Police,0.056581027805805206,1,1,1
25,Answer the question concisely. Q: Men Against the Sea and Pitcairn's Island were two sequels to what famous novel? A:,"['HMS Bounty mutineers', 'Mutiny on the Bounty', 'Mutiny on Bounty', 'Mutiny On The Bounty', 'Mutiny on the Bounty (history)', 'Mutiny on the bounty', 'Bounty (vessel)', 'Thomas Ledward']", The Adventures of Huckleberry Finn,0.20651361346244812,1,1,1
40,Answer the question concisely. Q: Otis Barton was a pioneer in exploring where? A:,"['Underwater', 'Under water', 'Underwater life', 'Undersea']", The Arctic,0.4659540057182312,1,1,1
43,"Answer the question concisely. Q: In Greek mythology, who were Arges, Brontes and Steropes? A:","['Cyclopes (disambiguation)', 'Cyclopes']", The three daughters of Zeus and Hera,0.1364452987909317,1,1,1
64,Answer the question concisely. Q: Who was the first US-born winner of golf's British Open? A:,"['Walter Hagen', 'Hagen, Walter', 'Walter Charles Hagen']", Ben Hogan,0.19378912448883057,1,1,1
74,Answer the question concisely. Q: Who or what was Gentle Ben in the 60s TV series? A:,"['Ursine', 'Ursoidea', 'Honey pig', 'Bears', 'Arctos', 'Ursidae', 'BEAR', 'Mating bears', 'Bear cub', 'Reproductive behavior of bears', 'Ursoid', 'Cub (bear)', 'Bear', '🐻', 'Bear (zoology)', 'Sexual behavior of bears', 'Bear hibernation']", A man who was a friend of the family,0.17895162105560303,1,1,1
82,Answer the question concisely. Q: Who was the Georgia Peach? A:,"['Cobb, Ty', 'Ty Cobb', 'The Georgia Peach', 'Tyrus Raymond Cobb', 'Tyrus Cobb']", The Georgia Peach was a man who was born in Georgia,0.5230621099472046,0,0,0
84,Answer the question concisely. Q: Della Street was whose secretary? A:,"['Perry Mason (film)', 'Perry mason', 'Perry Mason: The Case of the Defiant Daughter', 'Perry Mason']", Della Street was the secretary of the Department of the Interior.,0.10341399908065796,1,1,1
91,Answer the question concisely. Q: Which Star Trek star directed Three Men and a Baby? A:,"['Leonard nimoy', 'Leonard Nimoy', 'LEONARD NIMOY', 'Leonard Nemoy', 'Leonard Simon Nimoy']", George Takei,0.1689460724592209,1,1,1
104,Answer the question concisely. Q: What was the name of the brothel in The Best Little Whorehouse in Texas? A:,"['Chicken Ranch', 'Chicken Ranch (disambiguation)', 'The Chicken Ranch']", The Best Little Whorehouse in Texas,0.19872736930847168,1,1,1
107,Answer the question concisely. Q: Melanie Molitor is the mom of which tennis world NO 1? A:,"['The Swiss Miss', 'Martina hingis', 'Martina Hingisová', 'Martina Hingis', 'MartinaHingis', 'Martina Hingisova', 'Hingis']", Roger Federer,0.1751249134540558,1,1,1
