idx,prompt,gold,generated_response,bleurt_score,hallucination_label,llm_hallucination_label
0,Answer the question concisely. Q: Who was the man behind The Chipmunks? A:,['David Seville'],Ross Bagdasarian.,0.13977542519569397,1,1
1,Answer the question concisely. Q: Which Lloyd Webber musical premiered in the US on 10th December 1993? A:,"['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.']",The Phantom of the Opera,0.1905098855495453,1,1
2,Answer the question concisely. Q: Who was the next British Prime Minister after Arthur Balfour? A:,"['Sir Henry Campbell-Bannerman', 'Campbell-Bannerman', 'Campbell Bannerman', 'Sir Henry Campbell Bannerman', 'Henry Campbell Bannerman', 'Henry Campbell-Bannerman']",David Lloyd George,0.26288098096847534,1,1
3,Answer the question concisely. Q: Who had a 70s No 1 hit with Kiss You All Over? A:,"['Internal exile', 'Exiles', 'Transported for life', 'Exile (politics and government)', 'Voluntary exile', 'Sent into exile', 'Exile and Banishment', 'Self-exile', 'Forced exile', 'Exile', 'Exile in Greek tragedy', 'Banish', 'Banishment']",Exile,0.9585109949111938,0,0
4,Answer the question concisely. Q: What claimed the life of singer Kathleen Ferrier? A:,"['Cancer pathology', 'Deaths by cancer', 'Anti-cancer', 'Cancer (disease)', 'Cancerophobia', 'Malignant lesion', 'Cancer medication', 'Malignant tumors', 'Cancer signs', 'Malignant neoplasm', 'Invasive (cancer)', 'Malignant Neoplasms', 'Malignant growth', 'Sporadic cancer', 'Malignant cancer', 'Tumour virus', 'Cancer en cuirasse', 'Microtumor', 'Malignant neoplasms', 'Malignant tumour', 'Carcinophobia', 'Malignacy', 'Cancer patient', 'Epithelial cancers', 'Solid cancer', 'Cancers', 'Tumor medication', 'Malignant neoplastic disease', 'AIDS-related cancer', 'Invasive cancer', 'Cancer therapy', 'Cancerous tumor', 'Cancer', 'Financial toxicity', 'Cancer diagnosis', 'Cancer (medicine)', 'Malignant tumor', 'Cancerous', 'Borderline (cancer)', 'Signs of cancer', 'Malignancies', 'Cancer aromatase']",Cancer,0.7662267684936523,0,0
5,Answer the question concisely. Q: Rita Coolidge sang the title song for which Bond film? A:,"['Kamal kahn', 'List of Bond girls in Octopussy', 'Magda (James Bond)', 'List of James Bond allies in Octopussy', 'Vijay (James Bond)', 'Bond 13', 'Octopussy (character)', 'Penelope Smallbone', 'Octopussy', 'General Orlov', 'Kamal Khan', 'Octopussy (film)', 'List of James Bond villains in Octopussy', 'Jim Fanning (James Bond)']",A View to a Kill,0.211231991648674,1,1
6,Answer the question concisely. Q: What was the last US state to reintroduce alcohol after prohibition? A:,"['Utah (State)', 'Forty-Fifth State', 'Sports in Utah', 'Climate of Utah', 'Education in Utah', 'UT (state)', 'Utahn', 'Yutas', 'Geography of Utah', 'Utah', 'Utah, United States', 'Utah state nickname', 'History of mining in Utah', 'State of Utah', 'Religion in Utah', 'Utah (U.S. state)', 'Transportation in Utah', 'Beehive State', 'US-UT', 'Utah (state)', 'Forty-fifth State', 'Utahan', 'Politics of Utah', 'Salt Lake Seagulls', '45th State', 'History of Utah (to 1847)', 'The Beehive State', 'Youtah', 'Transport in Utah']",Utah,0.8884176015853882,0,0
7,Answer the question concisely. Q: Which actress was voted Miss Greenwich Village in 1942? A:,"['Bacall', 'Lauren Becal', 'Lauren Bacall', 'Lauren Becall', 'Betty J. Perske', 'Loren Bacall', 'Betty Joan Perske', 'Betty Perske', 'Betty Joan Perski']",Marilyn Monroe,0.29841166734695435,1,1
8,Answer the question concisely. Q: What is the Japanese share index called? A:,"['Nikkei', 'Nikkei (disambiguation)']",Nikkei 225,0.7163253426551819,0,0
9,Answer the question concisely. Q: What was the name of Michael Jackson's autobiography written in 1988? A:,"['Walk on the Moon', 'Walk on the moon', 'Moonwalk (disambiguation)', 'Lunar walks', 'Moonwalk', 'Moon Walk', 'Moonwalking', 'Lunar walk', 'Moon walk', 'Moonwalks', 'Moon walks', 'Lunar walking', 'Moon walking']",Moonwalk,0.9291549921035767,0,0
10,Answer the question concisely. Q: In which decade did stereo records first go on sale? A:,"['1930’s', 'Thirties', '1930s literature', 'Nineteen-thirties', '1930–1939', '1930-1939', ""'30s"", '1930s', ""1930's"", '%6030s', '1930s (decade)', 'The Thirties']",1950s,0.45630937814712524,1,1
11,Answer the question concisely. Q: In what year's Olympics were electric timing devices and a public-address system used for the first time? A:,"['In 1912, in Stockholm']",1912,0.21710509061813354,1,0
12,Answer the question concisely. Q: Which volcano in Tanzania is the highest mountain in Africa? A:,"['Mawensi', 'Mt. Kilimanjaro', 'Kibo (volcano)', 'Mount killimanjaro', 'Highest mountain in Africa', 'Kilimanjaro Massif', 'Stella Point', 'Kilimandjaro', 'Kilimonjaro', 'Kilimanjaro', ""Gilman's Point"", 'Killimanjaro', 'Kilima-Njaro', 'Kiliminjaro', 'Mt Kilimanjaro', 'Kilimanjaro Mountain', 'Mount Kilimanjaro', 'Mawenzi', 'Uhuru Peak', 'Kilimanjiro', 'Kaiser-Wilhelm-Spitze', 'Mt Kilamanjaro', 'Mount Kiliminjaro', 'Mount Kilimandjaro', 'Mount Kilamanjaro', 'Tussock Grassland (Tanzania)', 'Kilamanjaro']",Mount Kilimanjaro,1.0148646831512451,0,0
13,Answer the question concisely. Q: The flag of Libya is a plain rectangle of which color? A:,"['Greenishly', 'Avacado (color)', 'Green (color)', 'Rgb(0, 255, 0)', 'Greenishness', 'The colour green', 'Greenest', 'List of terms associated with the color green', 'The color green', 'Green', 'Pastel green', '(0, 255, 0)', 'Green (colour)', 'Greenness']",Green,0.8115737438201904,0,0
