idx,prompt,gold,generated_response,bleurt_score,hallucination_label,llm_hallucination_label
0,Answer the question concisely. Q: Who was the man behind The Chipmunks? A:,['David Seville'], Ross Bagdasarian Sr.,0.11373592913150787,1,0
1,Answer the question concisely. Q: Which Lloyd Webber musical premiered in the US on 10th December 1993? A:,"['Sunset Blvd', 'West Sunset Boulevard', 'Sunset Boulevard', 'Sunset Bulevard', 'Sunset Blvd.']", Sunset Boulevard.,0.8078990578651428,0,0
2,Answer the question concisely. Q: Who was the next British Prime Minister after Arthur Balfour? A:,"['Sir Henry Campbell-Bannerman', 'Campbell-Bannerman', 'Campbell Bannerman', 'Sir Henry Campbell Bannerman', 'Henry Campbell Bannerman', 'Henry Campbell-Bannerman']", David Lloyd George.,0.16343936324119568,1,1
3,Answer the question concisely. Q: Who had a 70s No 1 hit with Kiss You All Over? A:,"['Internal exile', 'Exiles', 'Transported for life', 'Exile (politics and government)', 'Voluntary exile', 'Sent into exile', 'Exile and Banishment', 'Self-exile', 'Forced exile', 'Exile', 'Exile in Greek tragedy', 'Banish', 'Banishment']", Exile.,0.8197968006134033,0,0
4,Answer the question concisely. Q: What claimed the life of singer Kathleen Ferrier? A:,"['Cancer pathology', 'Deaths by cancer', 'Anti-cancer', 'Cancer (disease)', 'Cancerophobia', 'Malignant lesion', 'Cancer medication', 'Malignant tumors', 'Cancer signs', 'Malignant neoplasm', 'Invasive (cancer)', 'Malignant Neoplasms', 'Malignant growth', 'Sporadic cancer', 'Malignant cancer', 'Tumour virus', 'Cancer en cuirasse', 'Microtumor', 'Malignant neoplasms', 'Malignant tumour', 'Carcinophobia', 'Malignacy', 'Cancer patient', 'Epithelial cancers', 'Solid cancer', 'Cancers', 'Tumor medication', 'Malignant neoplastic disease', 'AIDS-related cancer', 'Invasive cancer', 'Cancer therapy', 'Cancerous tumor', 'Cancer', 'Financial toxicity', 'Cancer diagnosis', 'Cancer (medicine)', 'Malignant tumor', 'Cancerous', 'Borderline (cancer)', 'Signs of cancer', 'Malignancies', 'Cancer aromatase']", Cancer.,0.5831804275512695,0,0
5,Answer the question concisely. Q: Rita Coolidge sang the title song for which Bond film? A:,"['Kamal kahn', 'List of Bond girls in Octopussy', 'Magda (James Bond)', 'List of James Bond allies in Octopussy', 'Vijay (James Bond)', 'Bond 13', 'Octopussy (character)', 'Penelope Smallbone', 'Octopussy', 'General Orlov', 'Kamal Khan', 'Octopussy (film)', 'List of James Bond villains in Octopussy', 'Jim Fanning (James Bond)']", Octopussy.,0.8384029865264893,0,0
6,Answer the question concisely. Q: What was the last US state to reintroduce alcohol after prohibition? A:,"['Utah (State)', 'Forty-Fifth State', 'Sports in Utah', 'Climate of Utah', 'Education in Utah', 'UT (state)', 'Utahn', 'Yutas', 'Geography of Utah', 'Utah', 'Utah, United States', 'Utah state nickname', 'History of mining in Utah', 'State of Utah', 'Religion in Utah', 'Utah (U.S. state)', 'Transportation in Utah', 'Beehive State', 'US-UT', 'Utah (state)', 'Forty-fifth State', 'Utahan', 'Politics of Utah', 'Salt Lake Seagulls', '45th State', 'History of Utah (to 1847)', 'The Beehive State', 'Youtah', 'Transport in Utah']"," Mississippi, in 1966.",0.10166594386100769,1,1
7,Answer the question concisely. Q: Which actress was voted Miss Greenwich Village in 1942? A:,"['Bacall', 'Lauren Becal', 'Lauren Bacall', 'Lauren Becall', 'Betty J. Perske', 'Loren Bacall', 'Betty Joan Perske', 'Betty Perske', 'Betty Joan Perski']", Betty Grable.,0.377103328704834,1,1
8,Answer the question concisely. Q: What is the Japanese share index called? A:,"['Nikkei', 'Nikkei (disambiguation)']", The Nikkei 225.,0.339150607585907,1,0
9,Answer the question concisely. Q: What was the name of Michael Jackson's autobiography written in 1988? A:,"['Walk on the Moon', 'Walk on the moon', 'Moonwalk (disambiguation)', 'Lunar walks', 'Moonwalk', 'Moon Walk', 'Moonwalking', 'Lunar walk', 'Moon walk', 'Moonwalks', 'Moon walks', 'Lunar walking', 'Moon walking']", Moonwalk.,0.7790111303329468,0,0
10,Answer the question concisely. Q: In which decade did stereo records first go on sale? A:,"['1930’s', 'Thirties', '1930s literature', 'Nineteen-thirties', '1930–1939', '1930-1939', ""'30s"", '1930s', ""1930's"", '%6030s', '1930s (decade)', 'The Thirties']", The 1950s.,0.2945384979248047,1,1
11,Answer the question concisely. Q: In what year's Olympics were electric timing devices and a public-address system used for the first time? A:,"['In 1912, in Stockholm']", 1936.,0.0346439927816391,1,1
